,movie_id,title
0,278,The Shawshank Redemption
1,238,The Godfather
2,550,Fight Club
3,424,Schindler's List
4,129,Spirited Away
5,244786,Whiplash
6,680,Pulp Fiction
7,240,The Godfather: Part II
8,510,One Flew Over the Cuckoo's Nest
9,497,The Green Mile
10,769,GoodFellas
11,13,Forrest Gump
12,1891,The Empire Strikes Back
13,155,The Dark Knight
14,73,American History X
15,207,Dead Poets Society
16,27205,Inception
17,11,Star Wars
18,694,The Shining
19,157336,Interstellar
20,629,The Usual Suspects
21,122,The Lord of the Rings: The Return of the King
22,264644,Room
23,77,Memento
24,274,The Silence of the Lambs
25,807,Se7en
26,120,The Lord of the Rings: The Fellowship of the Ring
27,150540,Inside Out
28,120467,The Grand Budapest Hotel
29,103,Taxi Driver
30,105,Back to the Future
31,205596,The Imitation Game
32,121,The Lord of the Rings: The Two Towers
33,111,Scarface
34,8587,The Lion King
35,500,Reservoir Dogs
36,1124,The Prestige
37,78,Blade Runner
38,118340,Guardians of the Galaxy
39,38,Eternal Sunshine of the Spotless Mind
40,76203,12 Years a Slave
41,14,American Beauty
42,1892,Return of the Jedi
43,152601,Her
44,106646,The Wolf of Wall Street
45,16869,Inglourious Basterds
46,603,The Matrix
47,348,Alien
48,489,Good Will Hunting
49,210577,Gone Girl
